DATETIME,NO,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,AQI,Vehicular_Pollution,Industrial_Pollution
2013-03-03,40.728813559322035,44.447457627118645,61.09830508474576,31.472097627118643,52.567741355932206,1180.5661016949152,39.18006915254237,2.4901694915254238,1022.1708474576272,-15.674237288135592,0.0,1.7294915254237289,101.89491525423729,334.66990144067796,35.32608338983051
2013-03-10,156.46924428822496,91.90822954076565,125.73813708260106,42.844546557652635,71.16315283869488,1487.0716359746314,77.01933216168717,6.739367311072056,1010.8321616871705,-8.858523725834798,0.0,1.735676625659051,153.65202108963092,443.9702888591732,59.931939359669904
2013-03-17,322.1343705799151,141.1060820367751,149.47949080622348,45.473833097595474,81.45827439886845,1661.7836182069154,72.51626591230551,5.508769448373409,1015.3230551626591,-3.238048090523338,0.018528995756718528,1.468882602545969,198.8118811881188,508.4568663621956,58.995049504950494
2013-03-24,494.18666666666667,57.95333333333333,74.264,14.652,44.275111111111116,925.6222891566265,47.29778400000001,4.118266666666666,1009.9614666666666,-6.163466666666667,0.04786666666666666,2.1874666666666664,120.51866666666666,275.5286834002677,30.974892
2013-03-31,661.9938271604939,101.55555555555556,131.98395061728394,30.348235390946503,53.77306411522634,1272.3249273783588,41.33769598765432,6.785555555555556,1012.7735802469135,-4.986666666666666,0.0,1.8941975308641974,164.48888888888888,389.90937441660617,35.842965689300414
2013-04-07,827.0705882352942,78.39084967320261,106.50718954248366,27.462745098039214,53.93562091503268,1312.386274509804,52.67060522875817,9.426666666666666,1008.9338562091503,-2.906535947712418,0.050849673202614375,2.031111111111111,143.03529411764706,387.80498366013074,40.06667516339869
2013-04-14,1000.3562585969738,32.91196698762036,73.75171939477303,10.420485281980742,40.307857001837874,640.8861949604728,66.51557895460799,11.221595598349381,1008.0425034387896,-7.58707015130674,0.0,2.6662998624484184,91.0563961485557,196.964434586176,38.46803211829436
2013-04-21,1165.3059975520196,61.76621787025704,101.41003671970624,20.812320195838435,42.1043971090517,856.93635250918,67.8276146878825,10.950550795593635,1009.5667074663403,-2.313096695226438,0.0009791921664626683,2.2149326805385554,134.65483476132192,265.5542510520487,44.31996744186046
2013-04-28,1332.9439601494396,91.6027397260274,120.906600249066,27.528170361145705,52.42479606022869,1087.6892901618928,61.161055292652556,15.014072229140721,1005.6307596513076,1.8151930261519302,0.0018679950186799503,1.7869240348692406,155.6376089663761,338.15585654930373,44.34461282689913
2013-05-05,1499.3481575603557,63.05146124523507,107.59593392630241,20.95861143583227,43.554698305802624,768.7935196950444,93.75389097839899,19.125794155019058,1008.8691232528589,1.8650571791613721,0.00012706480304955527,1.9168996188055907,132.2884371029225,245.74890329309613,57.35625120711563
